"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @Grace_Ayudia: Keren! Gojek Suguhkan Permainan Tradisional dan Perkenalkan Budaya Betawi di GoFood Festival... Bagus ini @gojekindonesia…",FALSE,0,NA,2019-08-07 08:17:21,FALSE,NA,"1159015660166320128",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","BambangDavid1",6,TRUE,FALSE,NA,NA
"RT @Grace_Ayudia: Keren! Gojek Suguhkan Permainan Tradisional dan Perkenalkan Budaya Betawi di GoFood Festival... Bagus ini @gojekindonesia…",FALSE,0,NA,2019-08-07 08:17:18,FALSE,NA,"1159015645511479297",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","AnnisaSeptiayu",6,TRUE,FALSE,NA,NA
"RT @Grace_Ayudia: Keren! Gojek Suguhkan Permainan Tradisional dan Perkenalkan Budaya Betawi di GoFood Festival... Bagus ini @gojekindonesia…",FALSE,0,NA,2019-08-07 08:17:14,FALSE,NA,"1159015632160976896",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","elpanjullo",6,TRUE,FALSE,NA,NA
"@CelotehanOjol @gojek24jam @kejO_Online @lambe_ojol Kalo judge bom opik itu pemasukan aja kalo gojek ada celahh

Ko… https://t.co/q8u05Zdjdp",FALSE,0,"CelotehanOjol",2019-08-07 08:17:12,TRUE,"1159014627839074306","1159015623449436160","1129241470026649600","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","B713Prince",0,FALSE,FALSE,NA,NA
"RT @AsikRey: Berbagi info:

Di gojek --&gt; account --&gt; enter promo code

isi SEMANGATMERDEKA

bisa dapat 17 voucher 10ribu

Indahnya berbagi…",FALSE,0,NA,2019-08-07 08:17:05,FALSE,NA,"1159015594353541120",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","instanddy",12,TRUE,FALSE,NA,NA
"Keren! Gojek Suguhkan Permainan Tradisional dan Perkenalkan Budaya Betawi di GoFood Festival... Bagus ini… https://t.co/MVyoP8N7fS",FALSE,0,NA,2019-08-07 08:17:05,TRUE,NA,"1159015592554184704",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Grace_Ayudia",6,FALSE,FALSE,NA,NA
"Benda twitter suggest Gojek dkt aku suruh install ni lahai",FALSE,1,NA,2019-08-07 08:16:58,FALSE,NA,"1159015562132905985",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","iripann",0,FALSE,FALSE,NA,NA
"RT @hwangsyg: jihoon: pokoknya jihoon mau dateng. titik.

maroo: tapi kan ada sche—

jihoon: jihoon kan dah bilang dari awal januari?????…",FALSE,0,NA,2019-08-07 08:16:50,FALSE,NA,"1159015530725908480",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","wannaonesmilee",265,TRUE,FALSE,NA,NA
"RT @hwangsyg: jihoon: pokoknya jihoon mau dateng. titik.

maroo: tapi kan ada sche—

jihoon: jihoon kan dah bilang dari awal januari?????…",FALSE,0,NA,2019-08-07 08:16:27,FALSE,NA,"1159015432818348032",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kryzkrystallee",265,TRUE,FALSE,NA,NA
"@Yuarlitaa @ChiIdishClown Lha saya malah udh naek baru aja duduk mau cabut udh disuruh turun lagi gak boleh naik ..… https://t.co/p5nngEx9S8",FALSE,0,"Yuarlitaa",2019-08-07 08:16:05,TRUE,"1158969486252208128","1159015341730590721","1322143982","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","alive_confuse",0,FALSE,FALSE,NA,NA
"Gue pulang mending naik gojek atau mrt ya<U+0001F610>",FALSE,0,NA,2019-08-07 08:15:48,FALSE,NA,"1159015270947491840",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nayounged",0,FALSE,FALSE,NA,NA
"RT @melimelibanana: Terima kasih @dewisutrisno_ aku baru tau ada ginian di app Gojek.

Selama ini asal pakai dan top up aja, gak kerasa, pa…",FALSE,0,NA,2019-08-07 08:15:38,FALSE,NA,"1159015226018156545",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","auliaackckck",16,TRUE,FALSE,NA,NA
"@fajaarali @jigoddes @raracheesee @geekkboyy @gojekindonesia Naaah ini bener..
Brian kelaperan diladenin ampe mamar… https://t.co/AdgqBGgJKy",FALSE,2,"fajaarali",2019-08-07 08:15:14,TRUE,"1158949665276092416","1159015128781578241","1287762798","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sholcs",1,FALSE,FALSE,NA,NA
"@Iitllechicken pastikan lagi nama akun gojek kamu sesuai sama nama yang kamu masukin ke form penukaran yaa..",FALSE,0,"Iitllechicken",2019-08-07 08:14:34,FALSE,"1159014313442459649","1159014959436615685","978876107020820480","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","CashPopIDN",0,FALSE,FALSE,NA,NA
"RT @hwangsyg: jihoon: pokoknya jihoon mau dateng. titik.

maroo: tapi kan ada sche—

jihoon: jihoon kan dah bilang dari awal januari?????…",FALSE,0,NA,2019-08-07 08:14:31,FALSE,NA,"1159014947935797248",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KhairNidaul",265,TRUE,FALSE,NA,NA
"RT @raracheesee: @geekkboyy @gojekindonesia harusnya Gojek gak cuma ngelit customer terus, kejadian nya kyk gini nih, cust yang goblog driv…",FALSE,0,NA,2019-08-07 08:14:15,FALSE,NA,"1159014878130012160",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","pengencooklat",478,TRUE,FALSE,NA,NA
"RT @bayugusa: Kumpulan voucher gratis dan promo menarik GOJEK<U+0001F60D>
(Auto update jika ada yang baru)

Like + rt dulu biar yang lain tau juga<U+0001F609>

=…",FALSE,0,NA,2019-08-07 08:13:21,FALSE,NA,"1159014654179328000",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SIFAT___",325,TRUE,FALSE,NA,NA
"RT @hwangsyg: jihoon: pokoknya jihoon mau dateng. titik.

maroo: tapi kan ada sche—

jihoon: jihoon kan dah bilang dari awal januari?????…",FALSE,0,NA,2019-08-07 08:13:13,FALSE,NA,"1159014618439700480",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","godmidam",265,TRUE,FALSE,NA,NA
"@ChiIdishClown Wkt mesen gojek.. Nah si driver jaketnya dibalik trs orgnya bilang ""mbak saya gojek, ini jaket saya,… https://t.co/qgc5tlcZ8n",FALSE,0,"ChiIdishClown",2019-08-07 08:13:10,TRUE,"1158916469750562816","1159014605500243968","1072197266469937154","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","icecream_ri",0,FALSE,FALSE,NA,NA
"RT @tanya2rl: [tanyarl] pantes aja indonesia di kasi predikat negara tersantai. Gojek aja skuy living banget nih https://t.co/dmOdJ0fy4X",FALSE,0,NA,2019-08-07 08:13:09,FALSE,NA,"1159014603306569730",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","indomiselerakoe",76,TRUE,FALSE,NA,NA
